x	y	cell
2506581.0800	736456.6860	3523.0000
2506734.0200	736292.6650	3555.0000
2506738.8200	736272.1290	3557.0000
2506755.8200	736244.9700	3560.0000
2506760.1200	736232.9350	3561.0000
2506765.8000	736221.1510	3562.0000
2506771.7700	736209.4640	3563.0000
2506775.9900	736198.1420	3564.0000
2506783.4600	736188.0380	3565.0000
2506790.4000	736176.0830	3566.0000
2506798.0000	736164.0510	3567.0000
2506832.6400	736115.9170	3571.0000
2506842.2800	736103.8750	3572.0000
2506852.3000	736091.8400	3573.0000
2506862.6800	736079.8150	3574.0000
2506896.1100	736043.6260	3577.0000
2506908.2000	736029.6670	3578.0000
2506922.0100	736017.4240	3579.0000
2507088.6300	735824.1250	3595.0000
2506257.0100	736606.7430	3650.0000
2506260.5100	736602.3050	3651.0000
2506286.0500	736594.4280	3657.0000
2506291.8400	736596.6050	3658.0000
2506302.2400	736594.9190	3660.0000
2506308.0300	736597.2320	3661.0000
2506313.8200	736599.5650	3662.0000
2506414.2000	736587.2710	3680.0000
2506418.5900	736582.1950	3681.0000
2506422.1900	736576.8610	3682.0000
2506428.9900	736578.1630	3683.0000
2506433.1800	736572.6960	3684.0000
2506438.7700	736567.2840	3685.0000
2506446.0400	736567.7420	3686.0000
2506453.7500	736568.0160	3687.0000
2506522.9200	736523.2140	3700.0000
2506530.4900	736523.9680	3701.0000
2506535.1200	736517.7850	3702.0000
2506541.6200	736511.7110	3703.0000
2506547.7300	736505.5740	3704.0000
2506550.5500	736499.2330	3705.0000
2506552.0800	736492.8680	3706.0000
2506553.7900	736486.5720	3707.0000
2506567.2500	736456.3140	3712.0000
2506724.7900	736284.0460	3746.0000
2506752.0800	736223.8920	3752.0000
2506757.5900	736212.0110	3753.0000
2506763.2300	736200.1470	3754.0000
2506769.5400	736188.0400	3755.0000
2506776.3600	736176.1900	3756.0000
2506783.4800	736164.1710	3757.0000
2506791.0400	736152.1270	3758.0000
2506799.0100	736140.0630	3759.0000
2506807.3900	736127.9860	3760.0000
2506816.1700	736115.9030	3761.0000
2506825.3300	736103.8180	3762.0000
2506834.8700	736091.7360	3763.0000
2506844.7800	736079.6600	3764.0000
2506855.0400	736067.5940	3765.0000
2506876.5400	736043.5230	3767.0000
2506887.7800	736031.7070	3768.0000
2506896.5000	736019.8110	3769.0000
2506908.7100	736010.1300	3770.0000
2507076.6900	735809.2680	3786.0000
2506147.3300	736593.0100	3824.0000
2506191.9900	736592.1050	3831.0000
2506209.6900	736591.1910	3834.0000
2506237.5500	736594.6500	3839.0000
2506243.2900	736596.5630	3840.0000
2506249.0300	736598.4770	3841.0000
2506254.7700	736600.3910	3842.0000
2506257.8000	736595.8540	3843.0000
2506271.7000	736594.9580	3846.0000
2506419.5000	736570.1600	3874.0000
2506426.3200	736571.5240	3875.0000
2506520.0500	736516.3790	3893.0000
2506527.5600	736517.1100	3894.0000
2506534.0500	736511.1300	3895.0000
2506540.1700	736505.0800	3896.0000
2506543.0500	736498.8000	3897.0000
2506544.6500	736492.4850	3898.0000
2506715.9100	736275.5030	3937.0000
2506745.0600	736212.2960	3943.0000
2506756.2400	736188.5220	3945.0000
2506762.4700	736176.5380	3946.0000
2506769.1600	736164.5960	3947.0000
2506776.2400	736152.5620	3948.0000
2506783.7300	736140.4990	3949.0000
2506791.6300	736128.4150	3950.0000
2506799.9200	736116.3150	3951.0000
2506817.6600	736092.0950	3953.0000
2506827.0800	736079.9830	3954.0000
2506836.8700	736067.8740	3955.0000
2506847.0000	736055.7720	3956.0000
